date,lake,temperature_f,depth_ft,species,catch_count
2024-08-29,Leech Lake,61.8,32.1,Walleye,1
2024-08-30,Minnetonka,69.1,59.6,Northern Pike,3
2024-08-31,Mille Lacs,68.4,5.4,Northern Pike,1
2024-09-01,White Bear,60.0,33.7,Crappie,2
2024-09-02,Minnetonka,70.5,58.2,Bass,4
2024-09-03,Leech Lake,71.9,31.9,Bass,5
2024-09-04,Mille Lacs,75.6,38.1,Walleye,8
2024-09-05,Minnetonka,75.4,42.0,Crappie,2
2024-09-06,Leech Lake,58.4,27.8,Bass,2
2024-09-07,Leech Lake,61.4,38.0,Crappie,4
2024-09-08,Leech Lake,71.6,35.5,Bass,0
2024-09-09,Minnetonka,71.6,54.2,Northern Pike,4
2024-09-10,Minnetonka,71.6,3.7,Bass,3
2024-09-11,Minnetonka,95.0,17.6,Crappie,6
2024-09-12,White Bear,72.0,57.1,Northern Pike,2
2024-09-13,Minnetonka,75.9,53.5,Northern Pike,2
2024-09-14,Minnetonka,74.7,27.9,Northern Pike,3
2024-09-15,Minnetonka,72.6,37.6,Crappie,6
2024-09-16,White Bear,65.8,17.4,Walleye,0
2024-09-17,Minnetonka,73.3,12.1,Walleye,4
2024-09-18,Leech Lake,62.6,28.4,Walleye,4
2024-09-19,Minnetonka,66.3,21.8,Crappie,3
2024-09-20,Leech Lake,64.6,35.4,Northern Pike,4
2024-09-21,Leech Lake,68.6,5.6,Walleye,4
2024-09-22,Leech Lake,84.2,58.5,Crappie,4
2024-09-23,White Bear,54.9,59.2,Walleye,1
2024-09-24,White Bear,72.8,42.2,Bass,5
2024-09-25,White Bear,56.7,32.6,Walleye,6
2024-09-26,Minnetonka,64.7,19.3,Walleye,0
2024-09-27,Leech Lake,75.6,49.0,Northern Pike,4
2024-09-28,White Bear,68.4,41.4,Crappie,2
2024-09-29,White Bear,60.5,10.6,Northern Pike,2
2024-09-30,Minnetonka,63.0,54.7,Northern Pike,3
2024-10-01,White Bear,72.8,49.5,Northern Pike,1
2024-10-02,Minnetonka,62.9,57.0,Northern Pike,1
2024-10-03,Mille Lacs,69.5,43.8,Northern Pike,5
2024-10-04,White Bear,68.3,37.2,Walleye,0
2024-10-05,Mille Lacs,63.4,25.7,Northern Pike,2
2024-10-06,Minnetonka,83.0,56.0,Northern Pike,3
2024-10-07,Leech Lake,72.4,52.1,Crappie,2
2024-10-08,White Bear,53.8,3.7,Bass,2
2024-10-09,Minnetonka,69.3,2.6,Walleye,1
2024-10-10,Leech Lake,63.4,23.2,Walleye,1
2024-10-11,Leech Lake,74.0,48.8,Walleye,3
2024-10-12,Mille Lacs,62.5,59.2,Northern Pike,1
2024-10-13,Minnetonka,67.2,9.9,Northern Pike,2
2024-10-14,Leech Lake,71.5,36.1,Northern Pike,0
2024-10-15,White Bear,74.1,23.5,Crappie,1
2024-10-16,White Bear,59.6,58.2,Bass,7
2024-10-17,Mille Lacs,65.7,50.7,Northern Pike,6
2024-10-18,Leech Lake,64.7,50.5,Bass,1
2024-10-19,Minnetonka,63.4,28.7,Crappie,1
2024-10-20,White Bear,80.4,25.5,Walleye,4
2024-10-21,Leech Lake,70.8,17.1,Northern Pike,5
2024-10-22,Leech Lake,59.2,4.3,Bass,5
2024-10-23,Mille Lacs,74.4,52.0,Bass,0
2024-10-24,White Bear,82.9,49.0,Northern Pike,5
2024-10-25,White Bear,75.2,60.0,Walleye,3
2024-10-26,Minnetonka,57.4,59.8,Walleye,7
2024-10-27,White Bear,64.6,33.8,Walleye,3
2024-10-28,Minnetonka,76.9,46.4,Crappie,3
2024-10-29,White Bear,63.0,56.7,Bass,3
2024-10-30,Mille Lacs,71.1,51.1,Bass,4
2024-10-31,White Bear,73.4,15.6,Bass,4
2024-11-01,Minnetonka,61.5,27.6,Crappie,3
2024-11-02,Minnetonka,67.6,8.6,Bass,3
2024-11-03,Mille Lacs,45.3,57.3,Crappie,3
2024-11-04,White Bear,60.8,36.8,Walleye,2
2024-11-05,White Bear,66.2,14.5,Northern Pike,4
2024-11-06,Mille Lacs,59.3,40.6,Bass,1
2024-11-07,White Bear,79.4,37.5,Bass,0
2024-11-08,White Bear,58.0,22.1,Walleye,7
2024-11-09,Minnetonka,64.9,7.7,Northern Pike,1
2024-11-10,White Bear,68.9,40.6,Crappie,1
2024-11-11,White Bear,78.1,31.7,Northern Pike,1
2024-11-12,Mille Lacs,57.9,46.6,Walleye,3
2024-11-13,Mille Lacs,76.1,31.7,Walleye,1
2024-11-14,Leech Lake,68.1,51.3,Northern Pike,3
2024-11-15,Minnetonka,61.1,33.6,Crappie,6
2024-11-16,White Bear,71.2,34.1,Crappie,1
